"";"x"
"1";5,75995554198426
"2";4,91435973395389
"3";4,87138862812605
"4";9,10580685204337
"5";4,3226870430222
"6";9,54941181328862
"7";0,353741587309337
"8";6,75384124890821
"9";5,37156273153384
"10";5,64782470623192
"11";6,13891844827965
"12";3,49302964067209
"13";4,00037784899174
"14";1,94427385067873
"15";1,78462632057327
"16";5,91058592421277
"17";6,34462933588828
"18";5,15901268019151
"19";7,76680240363921
"20";11,1502540568814
"21";3,52690650183039
"22";-1,92750662692244
"23";8,01721557338677
"24";2,87239771225282
"25";2,93597415059793
"26";8,0767141090901
"27";4,14568097884697
"28";1,33784686323639
"29";5,54391043924745
"30";4,58332591268287
"31";5,01729255769966
"32";6,15584120337899
"33";3,88801990462277
"34";6,9331296455565
"35";4,33854031454375
"36";5,99534589174709
"37";8,29051703944804
"38";6,30554447250141
"39";4,02220524340632
"40";8,44642285535328
"41";7,98051156788636
"42";6,64519087852421
"43";5,71619520533432
"44";3,11628177188189
"45";9,08195734559002
"46";3,19922123855862
"47";11,5619989790497
"48";9,59783187855557
"49";4,29289892269857
"50";1,92073729907966
"51";2,8687803089021
"52";5,77065112746959
"53";4,25992436461288
"54";3,9573722018068
"55";2,14514429820495
"56";4,86491682557324
"57";2,64528659162877
"58";-0,00382580976441016
"59";3,85932043913671
"60";7,7569898271823
"61";3,27395911217482
"62";6,8238929666751
"63";0,146351875132508
"64";4,83331410342638
"65";6,55822161183039
"66";5,90346008650014
"67";5,31702858244683
"68";3,07788197508387
"69";2,45088696189925
"70";1,92761362818526
"71";5,35293979130038
"72";2,15757615744559
"73";3,52832766889799
"74";4,23172342340526
"75";10,5315860156966
"76";3,04415029491362
"77";5,70615971685457
"78";5,23388254869113
"79";2,11443009760961
"80";4,7860757416292
"81";9,33365257527005
"82";6,35451215923764
"83";5,12369876597882
"84";3,73250950298113
"85";-1,15974166462155
"86";8,39401164024253
"87";0,618079787225534
"88";7,219842532632
"89";10,7273107076524
"90";0,668320517084602
"91";7,10535300612413
"92";4,2134075317926
"93";0,283567522563537
"94";0,455997038654746
"95";0,195391479276219
"96";3,40728043348909
"97";0,6147332450123
"98";7,06375031892748
"99";11,300326821577
"100";1,13890857189446
"101";7,36321654242553
"102";7,30712672300273
"103";5,99660773685035
"104";1,97487017516898
"105";4,64164218010802
"106";4,15881399448926
"107";6,68896859966144
"108";3,88268373168851
"109";7,93092016005686
"110";3,87625742669896
"111";8,158134396738
"112";1,8524689800018
"113";1,21953426572566
"114";14,7231198048272
"115";3,7494272355187
"116";5,89468277462215
"117";6,90970902210155
"118";3,54865812287377
"119";6,55058613294083
"120";6,10689358215526
"121";4,35385847707492
"122";5,19587910057595
"123";4,89779823878461
"124";11,3853556970485
"125";2,77599171118151
"126";1,71201119877601
"127";5,11336519751324
"128";5,93144224832941
"129";6,30957043673055
"130";3,62490400186668
"131";1,81002159808643
"132";8,78955552826847
"133";3,95104883613934
"134";2,40346141203988
"135";4,29116129317671
"136";4,40847231695434
"137";8,32976086914092
"138";5,25421187659159
"139";7,26216135555356
"140";3,50212394848322
"141";5,6433359287448
"142";4,0259422655275
